rico:hasOrHadPhysicalLocation,rico:isOrWasIncludedIn,dcterms:identifier,dcterms:title,rico:descriptiveNote,schema:fromLocationURI,schema:fromLocationTXT,dcterms:description,crm:P44_has_condition,curation:note,dcterms:dateSubmitted
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00654,Galène et quartz,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00655,Ponce,,,,Ponce ; très vitreux ; peut-être artificielle,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00656,Roche noire,,,,Roche noire ; specimen de petite taille rectangulaire ; [basalte altéré ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00657,Roche sédimentaire ou métamorphique argileuse,,,,Roche sédimentaire ou métamorphique ; resemble à une porcellanite; avec oxydes de cuivre (malachite),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00658,Scorie industrielle,,,,Scorie industrielle ; vésiculée mais dense ; couleur noire,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00659,Pyrite enveloppée d'hématite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00660,Pyrite,,,,Pyrite ; spécimen en stade de décomposition avancé,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00661,Roche sédimentaire recouverte de pyrite et une pyrite,,,,2 morceaux ; une roche sédimentaire recouverte de pyrite ; une pyrite en cours de décomposition,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00662,Pyrite,,,,Pyrite ; specimen en cours de décomposition,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00663,Pyrite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00664,Pyrite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00665,Pyrite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00666,Roche noire,,,,Roche noire ; très arrondie ; peut-être artificielle (e.g. morceau de débris industriel),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00667,Roche noire,,,,Roche noire ; specimen de petite taille rectangulaire ; [basalte altéré ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00668,Galène,,,,Semble être un spécimen de galêne ; formes cubiques visibles,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00669,Galène,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00670,Galène,,,,Galène ; peut-être avec des sulfides sécondaires,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00671,Cassiterite,,,,Casitérite ; assez dense ; densité plus faible que l'hématite,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00672,Magnétite,,,,Magnétite ; spécimen magnétique (avéré par le test de l'aimant),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00673,Galène et roche sédimentaire,,,,2 morceaux ; une galène ; une roch sedimentaire avec couche fine de minerai [galène ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00674,Roche sédimentaire avec couche de minéraux fibreux,,,,Roche sédimentaire avec couche de minéraux fibreux [gypse ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00675,Hématite spéculaire,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00676,Morceau de lingot de fer industriel,,,,Lingot de fer industriel ; on peut voir les lettres I.T. en relièf [Pittsburgh ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00677,Galène,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00678,Scories industrielles,,,,Scories industrielles ; 2 morceaux,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00679,Arsénopyrite,,,,Semble être de l'arsénopyrite ; également possibilité que le spécimen soit artificiel,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00680,Scorie industrielle,,,,Scorie industrielle ; enrobage vitreux et sphérulitique ; peut-être provenant d'une verrerie,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00681,[Limonite ou hématite ?],,,,[Limonite ou hématite ?] ; couleur rouge,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00682,Stibine,,,,Stibine ; mineraux noirs allongés,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00683,Arsénopyrite,,,,Arsénopyrite ; 2 morceaux,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00684,Hématite et chalcopyrite,,,,Hématite et chalcopyrite ; un morceau de chaque,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00685,Galène et psilomélane,,,,Galène et psilomélane ; un morceau de chaque ; psilomélane avec forme boytroïdale,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00686,Calcite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00687,Scorie industrielle,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00688,Hématite,,,,Hématite spéculaire,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00689,Manganite,,,,Manganite ; cristaux fins radiaires,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00690,Scorie industrielle,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00691,Résidu,,,,Résidue ; probablement de pyrite,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00692,Chalcopyrite sur roche sédimentaire,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00693,"Hématite, calcite et arsénopyrite",,,,"Hématite, calcite et arsénopyrite ; un morceau de chaque",,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00694,Chalcopyrite et minéral noir finement cristallisé,,,,Chalcopyrite et minéral noir finement cristallisé ; un morceau de chaque,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00695,Micacshiste,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00696,Pyrite,,,,Pyrite ; altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00697,Marbre,,,,Marbre blanc saccharoïde,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00698,Roche métallique granuleuse,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00699,Pyrite,,,,Pyrite ; altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00700,Pyrite,,,,Pyrite ; altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00701,Pyrite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00702,Galène,,,,Galène ; spécimen noté 71 ou 74,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00703,Pyrite et scorie de verre industriel,,,,2 morceaux ; une pyrite ; une scorie industrielle vitreuse noire,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00704,Galène et scorie industrielle,,,,4 morceaux ; 3 morceaux de galène ; une scorie industrielle vitreuse,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00705,Coquilles fossilisées et petite roche couverte d'oxyde de cuivre,,,,2 coquilles fossilisées ; une petite roche couverte d'oxyde de cuivre,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00706,Galet arrondi noire,,,,Probablement du grès avec altération de surface,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00707,Morceau de filon métallifère,,,,"Filon métallifère ; contient peut-être : du galène, de la pyrite, de la sphalérite et/ou de la cobaltite ; difficile à dire avec l'altération de surface",,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00708,Calcaire,,,,Petit fragment de calcaire,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00709,Calcaire,,,,Calcaire ; de nombreux morceaux de petite taille emballés dans une feuille de papier journal,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00710,Gneiss,,,,Gneiss ; couleur gris clair,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00711,Basalte,,,,Basalte ; vésiculaire et altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00712,Scorie,,,,Scorie ; légèrement arrondie,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00713,Granite porphyrique,"""Lac d'Issarlès""",https://sws.geonames.org/3012679/ Lac d'Issarlès,,Granite porphyrique ; altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00714,Granite,"""St Agrève""",https://sws.geonames.org/2981901/ Saint-Agrève,,Granite à hornblende ; altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00715,Granite,,,,Granite ; riche en biotite,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00716,Scorie,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00717,Scorie,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00718,Granite porphyre,"""le Béage""",https://sws.geonames.org/3005334/ Le Béage,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00719,Basalte vésiculaire altéré,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00720,Granite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00721,Gneiss,"""St Agrève""",https://sws.geonames.org/2981901/ Saint-Agrève,,Presence des boudins ?,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00722,Galet,,,,Galet arrondi ; [grès ou calcaire marneux ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00723,Fragment de filon de quartz et galène,,,,Filon de quartz et galène,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00724,Scorie,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00725,Ponce,,,,Ponce ; les vesicules sont allongées,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00726,Granite,"""Le Béage""",https://sws.geonames.org/3005334/ Le Béage,,Granite ; altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00727,Tuff volcanique,,,,Tuff volcanique ; incluant de petites scories et lapillis,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00728,Basalte,,,,Basalte vésiculaire ; altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00729,Calcaire,,,,Calcaire ; couleur blanc,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00730,Calcaire,,,,Calcaire; 4 morceaux ; couleur blanc,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00731,Galène,,,,Galène ; altéré ; présenté dans du papier journal,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00732,Hématite,,,,Hématite ; morceau de toute petite taille,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00733,Hématite,,,,Hématite ; en plusieurs fragments de petite taille ; altéré car couleur rougeâtre,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00734,Pyrite,,,,Pyrite ; altérée et fracturée,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00735,Basalte,,,,Basalte vésiculaire ; altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00736,Granite,,,,Granite ; riche en feldspath blanc,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00737,Tuf volcanique,,,,Tuf volcanique ; couleur gris-blanc,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00738,Hématite-limonite,,,,Hématite-limonite ; riche en oxydes de fer de plusieurs couleurs,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00739,Gneiss,,,,Gneiss ; riche en biotite,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00740,Calcaire,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00741,Tuf volcanique,,,,Tuff volcanique ; riche en scories et lapillis,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00742,Calcite,,,,Calcite ; forme rhombohèdrique,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00743,Hématite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00744,Granite porphyrique,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00745,Gypse,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00746,Roche volcanique,,,,Roche volcanique ; altérée ; riche en petits cristaux noirs,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00747,Calcaire fossilifère,"""56""",,,Calcaire fossilifère noté 56 ; en deux morceaux ; dans deux cases adjacentes,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00748,Calcite et roche vocanique,,,,4 morceaux ; 3 cristaux de calcite ; un petit fragment de lave ; un cinquième spécimen se trouve dans cette case (voir échantillon n° 00747),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25272,S-00749,Lima Carolina D'Orb [spécimen manquant],"""N°56 Lima Carolina D'Orb Laversines""",https://sws.geonames.org/6438789/ Laversines,,Peut-être correspond à S-00747,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00750,Scorie,,,,Scorie ; aspect cordé,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00751,Gneiss,,,,Gneiss ; altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00752,Anthracite,,,,Anthracite ; iridescente,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (cinquième rang)",25276,S-00753,Calcaire,,,,Calcaire ; spécimen de petite taille,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00754,Fragments de lingots de métals,,,,"lingots pouvant être du fer, du bismuth, du plomb, du tellure … impossible à dire car les lingots sont artificiels et les plus communs se ressemblent",,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00755,Pyromorphite,"""493 24 Pyromorphite Prov. Phoenixville Pennyslvanie""",https://sws.geonames.org/5205849/ Phoenixville,,Pyromorphite ; petits cristaux verts,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00756,Gabbro,,,,,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00757,Geysérite,,,Presque sûrement de Yellostone,2 grands sacs d'échantillons trouvés au fond de la caisse ; probablement des morceaux provenant d'un ou plusieurs geysers,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00758,Geysérite,"""Echantillon prov. des cratères des Geysers Parc National des Etats-Unis (Yellowstone) (Montana)""",https://sws.geonames.org/5843642/ Parc National de Yellowstone,,Geysérite ; 6 spécimens,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00759,Quartz,,,,Quartz ,Fortement empoussiéré,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00760,Diorite,,,,,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00761,Cailloux roulés,"""Cailloux Roulés Rivière-Yellowstone, Madison, Gallatin. Parc National des Etats-Unis Montana""",https://sws.geonames.org/5785190/ Rivière Yellowstone,,"Spécimens regroupés en cinq sachets ; granites, calcaires, grès ….",,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00762,Cailloux roulés,,https://sws.geonames.org/5785190/ Rivière Yellowstone,,"Spécimens regroupés en 1 sachet ; granites, calcaires, grès ….",,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00763,Hématite,"""15""",,,Hématite ; éclat terreux ; noté 15,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00764,Roche noire avec galène,,,,,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00765,Roches diverses,,,,Roches du fond de la caisse 'Chocolat Meunier' ; avec peu d'interet/spécimens difficiles à identifier,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00766,Roches très claires,,,,Roches du fond de la caisse 'Chocolat Meunier' ; rhyolite ou calcaire ; difficiles à identifier,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00767,Roches riches en micas,,,,"Roches du fond de la caisse 'Chocolat Meunier' ; Granites, schistes, Gneiss…",,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00768,Roches volcaniques foncées,,,,Roches du fond de la caisse 'Chocolat Meunier' ; difficiles à identifier,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00769,Roches siliceuses cryptocristalines,,,,Roches du fond de la caisse 'Chocolat Meunier' ; chailles et silex,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00770,Roches granitiques,,,,Roches du fond de la caisse 'Chocolat Meunier' ; roches granitiques,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00771,Roches calcaires,,,,Roches du fond de la caisse 'Chocolat Meunier' ; roches calcaires,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00772,Marbre,"""Marbrerie en tout genre Vve André DURET [manquant] Lafayette, 83 Lyon""",,,4 spécimens ; chacun de différentes couleurs ; probablement des échantillons de dessus de table,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00773,Marbre noir,[Étiquette illisible],,,Marbre noir ; collé entre deux plaques non identifiées,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00774,Dolomite,"""4""",,,Dépôts jaunâtres ; cristaux resemblent le dolomite ; fortement empoussiéré et difficile à identifier,Fortement empoussiéré,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00775,Hornblende,,,,Hornblend ,Fortement empoussiéré,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00776,Différents échantillons de mines d'or,"""Différents échantillons de mines d'Or prov. Environs de Virginia City Montana""",https://sws.geonames.org/5684558/ Virginia City,,Echantillons d'or ; 6 morceaux,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00777,Granite,,,,Granite ; feldspaths très rouges probablement altérés,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00778,[Diorite ou gabbro ?],,,,[Diorite ou gabbro ?] ; riche en biotite et hornblende,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00779,Hématite-limonite,,,,Hématite-limonite ; oxydes de fer,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00780,Calcaire,,,,[Tuf calcaire ou stalactite ?],,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00781,Lépidolite,"""20""",,,Lépidolite ; noté 20,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00782,Calcaire,"""Morceau de la voute de la grotte du Mammouth Kentucky""",https://sws.geonames.org/6254925/ Kentucky,,Tuf calcaire ; stalactitique,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00783,Concrétion de grés,,,,Concrétion de grés ; forme particulière de champignon,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00784,Calcaire fossilifère,"""Falaise du Portel Boulogne s. Mer""",https://sws.geonames.org/3031133/ Boulogne-sur-Mer,,,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00785,Wavellite,"""554 37 Wavellite. Al3 prov. Montgomery Co. Arkansas""",https://sws.geonames.org/4099753/ Arkansas,,"Wavellite ; annoté aussi sur la roche : 37 554 Wavellite, AL3 P4 015 aq. Montgomery Co., Ark. A.E. FOOTE.",,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00786,Quartz,,,,Quartz ,Fortement empoussiéré,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00787,"""Echantillon de minerai d'or""","""Echantillon de minerai d'Or prov. Environs de Virginia City Sierra Nevada""",https://sws.geonames.org/5395648/ Sierra Nevada,,Cristaux métalliques autres que de l'or ; peut-être un échantillon prélevé d'une zone de dêpot d'or et d'autres métaux ; a l'air d'être altéré par des eaux hydrothermales,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00788,Anthracite,,,,Anthracite ; 2 morceaux de roches noires,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00789,Quartz et hématite,"""Quartz semi-hyalin rubi[illisible] Ste Joy les Lyon Rhône""",https://sws.geonames.org/2980586/ Sainte-Foy-lès-Lyon,,[Quartz rouge hématisé ?],,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00790,Roche volcanique,"""Lave des Puys d'Auvergne""",,,Roche volcanique intérmediare ; couleur gris ; [trachyte ou andésite ?],,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00791,Apatite,"""442 41 Apatite provenance Renfrew Ontario_Canada""",https://sws.geonames.org/6093943/ Ontario,,Grand cristal d'apatite ; couleurs vert et rouge ; éclat vitreux,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00792,Anthracite,"""Anthracite Mines de Pennsylvanie""",https://sws.geonames.org/6254927/ Pennsylvanie,,Anthracite ; de nombreux morceaux de petite taille,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00793,Sable quartzeux,"""Sable Quartzeux avec grenats prov. Mines d'or de Virginia City Montana""",https://sws.geonames.org/5684558/ Virginia City,,Sable quartzeux avec grenats (grenats non observés mais spécimen très empoussiéré donc minéraux difficiles à voir),Très empoussiéré,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00794,Galène,,,,Galène ; très brillant,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00795,Magnétite,"""185 36 Magnetite FeFe Lodestone prov. Magnet Cove _ Arkansas_""",https://sws.geonames.org/4099753/ Arkansas,,"Magnétite ; annoté aussi sur roche : 36 Cont[illisible] titanium 185. Magnetite, FeFe. Magnet Cove, Ark. A.E. FOOTE.",,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00796,Obsidienne,,,,Obsidienne ; couleur noir ; fracture conchoïdale,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00797,Ilmenite,"""181 31 Menaccanite prov. Magnet Cove Arkansas""",,,"Ilmenite , annoté aussi sur roche : 31 181. Menaccanite. Magnet Cove, Ark. A.E. FOOTE. ; menaccanite est un synonyme pour le nom ilmenite, qui est plus courant",,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00798,Efflorescences roses,"""Eflorescences roses prov. Bassins pétrifiés des Sources du Mammouth Parc National des Etats-Unis _ Montana""",https://sws.geonames.org/5667009/ Montana,,"Echantillons stalactitiques, rouge",,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00799,Efflorescences jaunes,"""Eflorescences jaunes prov. Bassins pétrifiés des Sources du Mammouth Etats-Unis _ Montana""",,,"Echantillons stalactitiques, jaune",,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00800,Ardoise-marbre,,,,Alternances marbes et ardoises [ou marbre noir ?],,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00801,Silex,"""Silex de falaises de craie roulé Boulogne""",,Boulogne,,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25274,S-00802,Limonite,"""206 44 Limonite Fe3H Pseudomorph after pyrite prov. Marion North Carolina""",,"Marion, North Carolina, Etats-Unis",Plusieurs spécimens de limonite rouge,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00803,Silex,"""Silex de Joy les Lyon Rhône""",,Joy les Lyon Rhône,,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00804,Marbre,"""Marbre noir""",,,Marbre noir ; provenant probablement d'un dessus de table,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00805,Lignite,"""Lignite petrifiee Ste Joy les Lyon Rhône""",https://sws.geonames.org/2980586/ Sainte-Foy-lès-Lyon,,,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00806,Quartz,,,,Quartz ; petits cristaux bien formés,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00807,Marbre,,,,Marbre ; taillé en cube parfait ; possiblement en vu d'une utilisation comme Glaçon pour whiskey,,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00808,Quartz,,,,Quartz ,Fortement empoussiéré,,2021-12-15/2021-12-16
Salle d'école (dans une boîte Chocolat Meunier),25276,S-00809,Quartz,"""Quartz vulgaire Ste Joy des Lyon""",,,Quartz ; 2 spécimens,,,2021-12-15/2021-12-16
